method,dataset,n_tasks,ledger_hash,unit,window_W,sigma,delta,T,m_T,m_T_passes,eps,regime,observed,eps0,eps0_analytic
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,105,105.99999999999999,nan,37.95695840341722,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,127,127.99999999999997,nan,43.1519868246989,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,153,153.99999999999997,nan,49.024602408706954,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,184,184.99999999999997,nan,55.76934120097293,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,222,222.99999999999994,nan,63.70363824502984,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,268,268.99999999999994,nan,72.98414049417059,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,324,324.99999999999994,nan,83.90706395135713,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,391,391.99999999999994,nan,96.5506650489903,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,472,472.9999999999999,nan,111.35925795594503,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,569,569.9999999999999,nan,128.56810886993992,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,687,687.9999999999999,nan,148.93914015608323,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,829,829.9999999999998,nan,172.88718123413477,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U1,3,2.0,1e-05,1000,1000.9999999999998,nan,201.23537218890866,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,2,3.0,61.0,4.530670910207755,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,3,4.0,91.0,5.298525913621841,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,4,5.0,121.0,5.989928952612497,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,5,6.0,151.0,6.627064838413654,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,6,7.0,181.0,7.2228557001495926,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,7,8.0,211.0,7.786148140875069,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,8,9.0,241.0,8.32290815088033,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,9,10.0,271.0,8.837137179629,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,10,11.0,301.0,9.332482635101428,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,11,12.0,nan,9.811302669989779,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,13,14.0,nan,10.727493607361541,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,16,17.0,nan,12.017585876506033,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,19,20.0,nan,13.230019140012296,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,23,23.999999999999996,nan,14.7540034708529,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,28,28.999999999999996,nan,16.545642154879417,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,34,34.99999999999999,nan,18.569765173035062,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,41,41.99999999999999,nan,20.80039289796411,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,49,49.99999999999999,nan,23.215647590214424,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,60,60.999999999999986,nan,26.363848585405904,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,72,72.99999999999999,nan,29.62639974345322,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,87,87.99999999999999,nan,33.51111248383596,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,105,105.99999999999999,nan,37.95695840341722,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,127,127.99999999999997,nan,43.1519868246989,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,153,153.99999999999997,nan,49.024602408706954,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,184,184.99999999999997,nan,55.76934120097293,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,222,222.99999999999994,nan,63.70363824502984,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,268,268.99999999999994,nan,72.98414049417059,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,324,324.99999999999994,nan,83.90706395135713,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,391,391.99999999999994,nan,96.5506650489903,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,472,472.9999999999999,nan,111.35925795594503,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,569,569.9999999999999,nan,128.56810886993992,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,687,687.9999999999999,nan,148.93914015608323,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,829,829.9999999999998,nan,172.88718123413477,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U2,3,2.0,1e-05,1000,1000.9999999999998,nan,201.23537218890866,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,1,2.0,31.0,3.6430702143557943,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,2,4.0,62.0,5.298525913621841,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,3,6.0,93.0,6.627064838413654,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,4,7.0,123.0,7.2228557001495926,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,5,8.0,153.0,7.786148140875069,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,6,9.0,183.0,8.32290815088033,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,7,10.0,213.0,8.837137179629,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,8,11.0,243.0,9.332482635101428,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,9,12.0,273.0,9.811302669989779,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,10,13.0,303.0,10.275778510681564,accumulating,1,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,11,14.0,nan,10.727493607361541,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,13,16.0,nan,11.597073111012214,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,16,19.0,nan,12.833657185228812,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,19,22.0,nan,14.00355442581983,accumulating,0,,
M1,cifar100,10,9fe641be323b6bde,U3,3,2.0,1e-05,23,26.000000000000004,nan,15.484581546057857,accumulating,0,,
